threshold,TN,FP,FN,TP,precision,recall,f1,q_t,actions_per_1000,cost,cost_per_object
0.3728953308581867,35,209,2,238,0.5324384787472036,0.9916666666666667,0.6928675400291121,0.9235537190082644,923.5537190082645,229.0,0.4731404958677686
0.3828866991864168,36,208,2,238,0.5336322869955157,0.9916666666666667,0.6938775510204082,0.9214876033057852,921.4876033057851,228.0,0.47107438016528924
0.392878067514647,37,207,2,238,0.5348314606741573,0.9916666666666667,0.6948905109489051,0.9194214876033058,919.4214876033058,227.0,0.4690082644628099
0.4028694358428771,38,206,2,238,0.536036036036036,0.9916666666666667,0.695906432748538,0.9173553719008265,917.3553719008265,226.0,0.4669421487603306
0.41286080417110727,39,205,2,238,0.5372460496613995,0.9916666666666667,0.6969253294289898,0.9152892561983471,915.2892561983471,225.0,0.46487603305785125
0.42285217249933743,42,202,2,238,0.5409090909090909,0.9916666666666667,0.7,0.9090909090909091,909.090909090909,222.0,0.45867768595041325
0.43284354082756754,45,199,2,238,0.5446224256292906,0.9916666666666667,0.7031019202363369,0.9028925619834711,902.8925619834711,219.0,0.4524793388429752
0.4428349091557977,50,194,2,238,0.5509259259259259,0.9916666666666667,0.7083333333333333,0.8925619834710744,892.5619834710744,214.0,0.44214876033057854
0.4528262774840278,54,190,2,238,0.5560747663551402,0.9916666666666667,0.7125748502994012,0.8842975206611571,884.297520661157,210.0,0.43388429752066116
0.462817645812258,56,188,2,238,0.5586854460093896,0.9916666666666667,0.7147147147147148,0.8801652892561983,880.1652892561983,208.0,0.4297520661157025
0.4728090141404881,63,181,2,238,0.568019093078759,0.9916666666666667,0.7223065250379362,0.8657024793388429,865.702479338843,201.0,0.4152892561983471
0.48280038246871826,65,179,2,238,0.5707434052757794,0.9916666666666667,0.7245053272450532,0.8615702479338843,861.5702479338843,199.0,0.41115702479338845
0.4927917507969484,77,167,2,238,0.5876543209876544,0.9916666666666667,0.737984496124031,0.8367768595041323,836.7768595041323,187.0,0.38636363636363635
0.5,114,130,30,210,0.6176470588235294,0.875,0.7241379310344829,0.7024793388429752,702.4793388429752,430.0,0.8884297520661157
0.5027831191251786,150,94,62,178,0.6544117647058824,0.7416666666666667,0.6953125,0.5619834710743802,561.9834710743802,714.0,1.475206611570248
0.5127744874534087,209,35,150,90,0.72,0.375,0.4931506849315069,0.25826446280991733,258.26446280991735,1535.0,3.1714876033057853
0.5227658557816389,242,2,180,60,0.967741935483871,0.25,0.3973509933774834,0.128099173553719,128.099173553719,1802.0,3.7231404958677685
0.532757224109869,242,2,195,45,0.9574468085106383,0.1875,0.313588850174216,0.09710743801652892,97.10743801652892,1952.0,4.033057851239669
0.5427485924380991,242,2,200,40,0.9523809523809523,0.16666666666666666,0.2836879432624113,0.08677685950413223,86.77685950413223,2002.0,4.136363636363637
0.5527399607663293,242,2,206,34,0.9444444444444444,0.14166666666666666,0.24637681159420294,0.0743801652892562,74.3801652892562,2062.0,4.260330578512397
0.5627313290945595,242,2,207,33,0.9428571428571428,0.1375,0.24000000000000002,0.07231404958677685,72.31404958677686,2072.0,4.2809917355371905
0.5727226974227896,242,2,211,29,0.9354838709677419,0.12083333333333333,0.21402214022140226,0.0640495867768595,64.0495867768595,2112.0,4.363636363636363
